# Mechanical evidence only: generated from the default-disabled SM-2 link log after original-owner and C-VID closure.
# symbol<TAB>cmake_object_target<TAB>referencing_source
__declspec(dllimport) __sys_errlist
_SuspendMouseInterrupts	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\mouse_io.c.obj
_VirtualX	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\mouse_io.c.obj
_VirtualY	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\mouse_io.c.obj
_HostPpiState	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\ppi.c.obj
_get_lim_page_frames	ntdos64-opennt-nt4-emm-objects	overlay\base\mvdm\softpc.new\base\dos\emm_mngr.c.obj
_CmdDispatch	ntdos64-opennt-nt-bop-objects	overlay\base\mvdm\softpc.new\host\src\nt_bop.c.obj
_DBGDispatch	ntdos64-opennt-nt-bop-objects	overlay\base\mvdm\softpc.new\host\src\nt_bop.c.obj
_DpmiDispatch	ntdos64-opennt-nt-bop-objects	overlay\base\mvdm\softpc.new\host\src\nt_bop.c.obj
_GetCommHandle	ntdos64-opennt-nt-bop-objects	overlay\base\mvdm\softpc.new\host\src\nt_bop.c.obj
_GetCommShadowMSR	ntdos64-opennt-nt-bop-objects	overlay\base\mvdm\softpc.new\host\src\nt_bop.c.obj
_host_direct_access_error	ntdos64-opennt-nt-bop-objects	overlay\base\mvdm\softpc.new\host\src\nt_bop.c.obj
_ms_bop	ntdos64-opennt-nt-bop-objects	overlay\base\mvdm\softpc.new\host\src\nt_bop.c.obj
_FreeIntelMemory	ntdos64-opennt-sim32-objects	base\mvdm\softpc.new\host\src\sim32.c.obj
_InitIntelMemory	ntdos64-opennt-sim32-objects	base\mvdm\softpc.new\host\src\sim32.c.obj
_config	ntdos64-opennt-support-provider-objects	base\mvdm\softpc.new\base\support\main.c.obj
_host_applInit	ntdos64-opennt-support-provider-objects	base\mvdm\softpc.new\base\support\main.c.obj
