"disposition_id"	"call_id"	"caller_path"	"caller_package"	"caller_line"	"lexical_callee"	"declaration_id"	"declaration_path"	"declaration_package"	"disposition"	"selected_definition_ids"	"owner"	"recovery_state"	"evidence"
"MVDM-BOUNDARY-00046"	"MVDM-CALL-002125"	"dos/command/cmdredir.c"	"dos"	"128"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:128; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00047"	"MVDM-CALL-002136"	"dos/command/cmdredir.c"	"dos"	"202"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:202; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00048"	"MVDM-CALL-002138"	"dos/command/cmdredir.c"	"dos"	"204"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:204; inc/softpc.h:132"
"MVDM-BOUNDARY-00049"	"MVDM-CALL-002140"	"dos/command/cmdredir.c"	"dos"	"212"	"nt_std_handle_notification"	"MVDM-DECL-00046"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-09406"	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:212; dos/command/cmd.h:255"
"MVDM-BOUNDARY-00050"	"MVDM-CALL-002141"	"dos/command/cmdredir.c"	"dos"	"217"	"nt_std_handle_notification"	"MVDM-DECL-00046"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-09406"	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:217; dos/command/cmd.h:255"
"MVDM-BOUNDARY-00051"	"MVDM-CALL-002149"	"dos/command/cmdredir.c"	"dos"	"250"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:250; inc/softpc.h:132"
"MVDM-BOUNDARY-00052"	"MVDM-CALL-002158"	"dos/command/cmdredir.c"	"dos"	"267"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:267; inc/softpc.h:132"
"MVDM-BOUNDARY-00053"	"MVDM-CALL-002169"	"dos/command/cmdredir.c"	"dos"	"299"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:299; inc/softpc.h:132"
"MVDM-BOUNDARY-00054"	"MVDM-CALL-002183"	"dos/command/cmdredir.c"	"dos"	"350"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:350; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00055"	"MVDM-CALL-002215"	"dos/command/cmdredir.c"	"dos"	"484"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:484; softpc.new/base/inc/standard.h:83"
