canonical_group_id	canonical_group_key	canonical_symbol	grouping_scope	group_kind	raw_identity_count	macro_generated_identity_count	raw_definition_ids	source_identities	dispositions
"MVDM-ZERO-CANONICAL-GROUP-007087"	"linkable:npx_fucomp_f5"	"npx_fucomp_f5"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001695"	"softpc.new/base/ccpu386/zfrsrvd.c:2627"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007088"	"linkable:npx_fucomp_f6"	"npx_fucomp_f6"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001696"	"softpc.new/base/ccpu386/zfrsrvd.c:2635"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007089"	"linkable:npx_fucomp_f7"	"npx_fucomp_f7"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001697"	"softpc.new/base/ccpu386/zfrsrvd.c:2643"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007090"	"linkable:npx_fucompp"	"npx_fucompp"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001698"	"softpc.new/base/ccpu386/zfrsrvd.c:2651"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007091"	"linkable:npx_funimp"	"npx_funimp"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001712"	"softpc.new/base/ccpu386/zfrsrvd.c:2750"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007092"	"linkable:npx_fxam"	"npx_fxam"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001699"	"softpc.new/base/ccpu386/zfrsrvd.c:2659"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007093"	"linkable:npx_fxch_f0"	"npx_fxch_f0"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001700"	"softpc.new/base/ccpu386/zfrsrvd.c:2666"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007094"	"linkable:npx_fxch_f1"	"npx_fxch_f1"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001701"	"softpc.new/base/ccpu386/zfrsrvd.c:2673"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007095"	"linkable:npx_fxch_f2"	"npx_fxch_f2"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001702"	"softpc.new/base/ccpu386/zfrsrvd.c:2680"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007096"	"linkable:npx_fxch_f3"	"npx_fxch_f3"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001703"	"softpc.new/base/ccpu386/zfrsrvd.c:2687"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007097"	"linkable:npx_fxch_f4"	"npx_fxch_f4"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001704"	"softpc.new/base/ccpu386/zfrsrvd.c:2694"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007098"	"linkable:npx_fxch_f5"	"npx_fxch_f5"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001705"	"softpc.new/base/ccpu386/zfrsrvd.c:2701"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007099"	"linkable:npx_fxch_f6"	"npx_fxch_f6"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001706"	"softpc.new/base/ccpu386/zfrsrvd.c:2708"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007100"	"linkable:npx_fxch_f7"	"npx_fxch_f7"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001707"	"softpc.new/base/ccpu386/zfrsrvd.c:2715"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007101"	"linkable:npx_fxtract"	"npx_fxtract"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001708"	"softpc.new/base/ccpu386/zfrsrvd.c:2722"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007102"	"linkable:npx_fyl2x"	"npx_fyl2x"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001709"	"softpc.new/base/ccpu386/zfrsrvd.c:2729"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007103"	"linkable:npx_fyl2xp1"	"npx_fyl2xp1"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001710"	"softpc.new/base/ccpu386/zfrsrvd.c:2736"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007104"	"linkable:npx_interrupt_line_waggled"	"npx_interrupt_line_waggled"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-008165"	"softpc.new/host/src/cpucstbs.c:14"	"not-host-runtime"
