symbol	source_root	source_path	source_sha256	source_line	linkage	source	rebase_admission
"call_dump"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/floppy_i.c"	"22b503047688d4d1f2d4b99ffba29e71612a165bbc9069976ce7a8b8d62ba042"	"82"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"return_dump"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/floppy_i.c"	"22b503047688d4d1f2d4b99ffba29e71612a165bbc9069976ce7a8b8d62ba042"	"213"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"rd_diskdata"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/gfi_sflp.c"	"396c621a6c6abf135fdec730a0be91c8bc5582de51687ed006ca5df97d354dc5"	"718"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"clean_all_regs"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/keymouse/mouse_io.c"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1495"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"restore_ega_defaults"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/keymouse/mouse_io.c"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1580"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"mouse_adjust_screen_size"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/keymouse/mouse_io.c"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1658"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"mouse_ega_mode"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/keymouse/mouse_io.c"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1710"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"io_define_inb"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/ios.c"	"e4f39908ff9534adde52e46def732a93790ac48f2bb481590622c537c2f3b205"	"692"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"get_host_timestamp"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/time_day.c"	"af7a3d2b6dd80dec1f72910ae627f2ed87906fe8986e8c7c930ae6fbf35bd1b2"	"523"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"write_host_timestamp"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/time_day.c"	"af7a3d2b6dd80dec1f72910ae627f2ed87906fe8986e8c7c930ae6fbf35bd1b2"	"654"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"get_host_time"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/time_day.c"	"af7a3d2b6dd80dec1f72910ae627f2ed87906fe8986e8c7c930ae6fbf35bd1b2"	"726"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"TimeToTicks"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/time_day.c"	"af7a3d2b6dd80dec1f72910ae627f2ed87906fe8986e8c7c930ae6fbf35bd1b2"	"743"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"idle_ctl"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/system/idetect.c"	"b93eb0784830446b53eeadb4b4f2dc5506787cd5313b313ecfc1ec14c5b7d160"	"490"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"q_event_init_structs"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/system/quick_ev.c"	"fe23e0ef2fb79aebadc5c0404a2369a694ac6d82347bcae5f2a7bca74b807111"	"234"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
