symbol	source_root	source_path	source_sha256	source_line	definition_form
"nt_floppy_get_media_type"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"903"	"ansi-body"
"nt_floppy_get_media_type"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"903"	"ansi-body"
"nt_floppy_media_check"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"956"	"ctags-function-body"
"nt_floppy_media_check"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"956"	"ctags-function-body"
"nt_floppy_read"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"711"	"ctags-function-body"
"nt_floppy_read"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"711"	"ctags-function-body"
"nt_floppy_verify"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"771"	"ctags-function-body"
"nt_floppy_verify"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"771"	"ctags-function-body"
"nt_floppy_write"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"726"	"ctags-function-body"
"nt_floppy_write"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"726"	"ctags-function-body"
"PopPileSubitem"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"743"	"ctags-function-body"
"PopPileSubitem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"743"	"ctags-function-body"
"PutData"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/hdata.c"	"ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8"	"13"	"k-and-r-body"
"PutData"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/hdata.c"	"ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8"	"13"	"k-and-r-body"
"QueryHszLength"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"78"	"k-and-r-body"
"QueryHszLength"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"78"	"k-and-r-body"
"QueryHszName"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"101"	"ctags-function-body"
"QueryHszName"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"101"	"ctags-function-body"
"RemoveLstItem"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"246"	"k-and-r-body"
