"worklist_id"	"declaration_id"	"lexical_name"	"declaration_path"	"declaration_package"	"review_family"	"caller_count"	"caller_packages"	"caller_evidence"	"final_owner"	"recovery_state"	"evidence"
"MVDM-WORK-00045"	"MVDM-DECL-04503"	"nt_ega_lo_graph_huge"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_ega.c:848; softpc.new/host/inc/nt_graph.h:305; softpc.new/host/src/nt_ega.c:884; softpc.new/host/inc/nt_graph.h:305"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:305"
"MVDM-WORK-00046"	"MVDM-DECL-04504"	"nt_ega_med_graph_std"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_ega.c:1024; softpc.new/host/inc/nt_graph.h:307; softpc.new/host/src/nt_ega.c:1051; softpc.new/host/inc/nt_graph.h:307"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:307"
"MVDM-WORK-00047"	"MVDM-DECL-04507"	"nt_ega_hi_graph_std"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_ega.c:1258; softpc.new/host/inc/nt_graph.h:313; softpc.new/host/src/nt_ega.c:1285; softpc.new/host/inc/nt_graph.h:313"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:313"
"MVDM-WORK-00048"	"MVDM-DECL-04508"	"nt_ega_hi_graph_big"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_ega.c:1334; softpc.new/host/inc/nt_graph.h:315; softpc.new/host/src/nt_ega.c:1365; softpc.new/host/inc/nt_graph.h:315"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:315"
"MVDM-WORK-00049"	"MVDM-DECL-04509"	"nt_ega_hi_graph_huge"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_ega.c:1458; softpc.new/host/inc/nt_graph.h:317; softpc.new/host/src/nt_ega.c:1486; softpc.new/host/inc/nt_graph.h:317"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:317"
"MVDM-WORK-00050"	"MVDM-DECL-04510"	"nt_ega_mono_lo_graph_std"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/host/src/nt_ega.c:1537; softpc.new/host/inc/nt_graph.h:319"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:319"
"MVDM-WORK-00051"	"MVDM-DECL-04520"	"nt_vga_graph_std"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_vga.c:59; softpc.new/host/inc/nt_graph.h:339; softpc.new/host/src/nt_vga.c:89; softpc.new/host/inc/nt_graph.h:339"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:339"
"MVDM-WORK-00052"	"MVDM-DECL-04521"	"nt_vga_graph_big"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/host/src/nt_vga.c:156; softpc.new/host/inc/nt_graph.h:341"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:341"
"MVDM-WORK-00053"	"MVDM-DECL-04522"	"nt_vga_graph_huge"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/host/src/nt_vga.c:276; softpc.new/host/inc/nt_graph.h:343"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:343"
"MVDM-WORK-00054"	"MVDM-DECL-04523"	"nt_vga_med_graph_std"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"4"	"softpc.new"	"softpc.new/host/src/nt_vga.c:193; softpc.new/host/inc/nt_graph.h:345; softpc.new/host/src/nt_vga.c:311; softpc.new/host/inc/nt_graph.h:345; softpc.new/host/src/nt_vga.c:408; softpc.new/host/inc/nt_graph.h:345; softpc.new/host/src/nt_vga.c:447; softpc.new/host/inc/nt_graph.h:345"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:345"
