"caller_path"	"source_line"	"symbol"	"raw_context"	"stage1_state"	"next_stage"
"bde/bdemisc.c"	"80"	"PRINTF"	"PRINTF(""  "");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"83"	"ReadByteSafe"	"ch = ReadByteSafe(base+offset+j);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"84"	"isprint"	"if (isprint(ch)) {"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"85"	"PRINTF"	"PRINTF(""%c"", ch);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"87"	"PRINTF"	"PRINTF(""."");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"94"	"PRINTF"	"PRINTF("" %04x"", ReadWordSafe(base+offset+j));"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"94"	"ReadWordSafe"	"PRINTF("" %04x"", ReadWordSafe(base+offset+j));"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"99"	"PRINTF"	"PRINTF("" %08lx"", ReadDwordSafe(base+offset+j));"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"99"	"ReadDwordSafe"	"PRINTF("" %08lx"", ReadDwordSafe(base+offset+j));"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"103"	"PRINTF"	"PRINTF(""\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
