source_root	source_path	source_sha256	source_line	symbol	signature_evidence	project_components	selected_identity_status
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"346"	"read_gnode32"	"BOOL read_gnode32( ULONG lpAddress, PGNODE32 p, BOOL bSafe )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"370"	"GetDescriptorData"	"BOOL GetDescriptorData( WORD selector, LPVDMLDT_ENTRY pdte )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"428"	"GetInfoFromSelector"	"ULONG GetInfoFromSelector( WORD selector, int mode, SELECTORINFO *si )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"528"	"SkipToNextWhiteSpace"	"SkipToNextWhiteSpace( VOID )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"544"	"GetNextToken"	"GetNextToken( VOID )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"561"	"ParseIntelAddress"	"ParseIntelAddress( int *pMode, WORD *pSelector, PULONG pOffset )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"34"	"Unassemble"	"Unassemble( VOID )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1396"	"AppendString"	"void AppendString(char *str)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1402"	"ExtraString"	"void ExtraString(char *str)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1414"	"unassemble_one"	"int unassemble_one( BYTE *pInstrStart, // instruction to decode (can be local buffer) BOOL bDefaultBig, WORD wInstrSeg, // selector of instruction DWORD dwInstrOff, // offset of instruction char *pchOutput, // [out] disassembled instruction char *pchExtra // [out] extra info (ie. ""es:[53]=1234"") // (can be NULL) )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1497"	"safe_read_byte"	"BOOL safe_read_byte( ADDR addr, BYTE *pb )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1518"	"safe_read_short"	"BOOL safe_read_short( ADDR addr, SHORT *ps )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1538"	"safe_read_long"	"BOOL safe_read_long( ADDR addr, LONG *pl )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1559"	"Dreg1B"	"int Dreg1B(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1568"	"Dreg1W"	"int Dreg1W(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1580"	"Dreg2B"	"int Dreg2B(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1589"	"Dreg2W"	"int Dreg2W(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1601"	"DmodrmB"	"int DmodrmB(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1658"	"DmodrmW"	"int DmodrmW(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1728"	"DisplayAddress"	"void DisplayAddress(int mod, int rm, int sOff, int size)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1837"	"DALreg"	"int DALreg(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1844"	"DAHreg"	"int DAHreg(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1851"	"DBLreg"	"int DBLreg(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1858"	"DBHreg"	"int DBHreg(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"1865"	"DCLreg"	"int DCLreg(LPBYTE lpB)"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
