canonical_definition_id	raw_definition_id	source_path	source_sha256	source_line	linkage	raw_symbol	canonical_symbol	name_resolution	macro_definition_spelling	source_line_evidence	canonical_group_key	final_function_disposition	leaf_status
"MVDM-ZERO-CANONICAL-DEFINITION-001361"	"MVDM-ZERO-DEFINITION-001361"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"250"	"external-or-unspecified"	"getVideomark_word"	"getVideomark_word"	"raw-ctags-symbol"	""	"GLOBAL IUH * getVideomark_word getVideomark_word()"	"linkable:getVideomark_word"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001362"	"MVDM-ZERO-DEFINITION-001362"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"256"	"external-or-unspecified"	"setVideomark_string"	"setVideomark_string"	"raw-ctags-symbol"	""	"GLOBAL void setVideomark_string setVideomark_string(IUH *,value)"	"linkable:setVideomark_string"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001363"	"MVDM-ZERO-DEFINITION-001363"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"261"	"external-or-unspecified"	"getVideomark_string"	"getVideomark_string"	"raw-ctags-symbol"	""	"GLOBAL IUH * getVideomark_string getVideomark_string()"	"linkable:getVideomark_string"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001364"	"MVDM-ZERO-DEFINITION-001364"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"267"	"external-or-unspecified"	"setVideoread_shift_count"	"setVideoread_shift_count"	"raw-ctags-symbol"	""	"GLOBAL void setVideoread_shift_count setVideoread_shift_count(IU32,value)"	"linkable:setVideoread_shift_count"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001365"	"MVDM-ZERO-DEFINITION-001365"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"272"	"external-or-unspecified"	"getVideoread_shift_count"	"getVideoread_shift_count"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideoread_shift_count getVideoread_shift_count()"	"linkable:getVideoread_shift_count"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001366"	"MVDM-ZERO-DEFINITION-001366"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"278"	"external-or-unspecified"	"setVideoread_mapped_plane"	"setVideoread_mapped_plane"	"raw-ctags-symbol"	""	"GLOBAL void setVideoread_mapped_plane setVideoread_mapped_plane(IU32,value)"	"linkable:setVideoread_mapped_plane"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001367"	"MVDM-ZERO-DEFINITION-001367"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"283"	"external-or-unspecified"	"getVideoread_mapped_plane"	"getVideoread_mapped_plane"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideoread_mapped_plane getVideoread_mapped_plane()"	"linkable:getVideoread_mapped_plane"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001368"	"MVDM-ZERO-DEFINITION-001368"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"289"	"external-or-unspecified"	"setVideocolour_comp"	"setVideocolour_comp"	"raw-ctags-symbol"	""	"GLOBAL void setVideocolour_comp setVideocolour_comp(IU32,value)"	"linkable:setVideocolour_comp"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001369"	"MVDM-ZERO-DEFINITION-001369"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"294"	"external-or-unspecified"	"getVideocolour_comp"	"getVideocolour_comp"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideocolour_comp getVideocolour_comp()"	"linkable:getVideocolour_comp"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001370"	"MVDM-ZERO-DEFINITION-001370"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"300"	"external-or-unspecified"	"setVideodont_care"	"setVideodont_care"	"raw-ctags-symbol"	""	"GLOBAL void setVideodont_care setVideodont_care(IU32,value)"	"linkable:setVideodont_care"	"not-host-runtime"	"leaf"
