root	relative_path	size_bytes	sha256	file_class	source_series	final_disposition	staged_destination	provenance_reference
build-output	write/WRITE.EXE	244480	08ee1659788880fb593815ff9609bfe76743c1182d05e6702764bf3dff68b30b	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	write/write16.exe	244480	08ee1659788880fb593815ff9609bfe76743c1182d05e6702764bf3dff68b30b	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
mvdm-guest	bin86/autoexec.nt	438	c2a23a5fb96682c33d99c13a57e6f3c1e10dfd3d263d972775a8c42bfb6a9a9b	source-resource-or-control	selected-original-mirror	runtime-media	mvdm/autoexec.nt	m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/config.nt	2510	6ae1e74e78de00c0fa03124e6f947d977c71f253855ad2af979554074aea189a	source-resource-or-control	selected-original-mirror	runtime-media	mvdm/config.nt	m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/country.sys	17069	ba263d4276024a904ece68fe193f8ca6da928dc9b35f8948f69d458dbb6ac3d0	binary-product	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/ctl3dv2.dll	27200	3387135a5075439b9238d6c486b047d4dba8d9a6d1dad6bb74050347c70616db	binary-product	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/ctl3dv2.map	20463	862d762ce3ce3619ed3321d9eec69b8d5a1fbca42b52a9d914128a1e11d485c1	build-intermediate	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/ctl3dv2.sym	2068	7b0a89b4f21c4cecd344c38f25de8951fe1e4e57b26d067f090754430dd0b6d9	build-intermediate	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/i386/win87em.dll	12800	30d6b965d45eddf306268c9526b01494df4841b8b530bab2654c379e1cf49db2	binary-product	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/lanman.drv	221600	60204f58744d38e9201ba958d45c483ce7989b216b98a67ce5aa355af37dec02	binary-product	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/lzexpand.dll	9936	faf467ce496dd59655ccd91c26c8ea694551f54fa6bbf5f480f398fc54d12fdd	binary-product	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/makefile	579	2a5aacafe216a9bd3b46fa0929c522ead66e7ba7e81e24258bd53f59b89fda6b	source-resource-or-control	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/netapi.dll	108464	30a8ed7453779195ad196d2e0a024e05619688c6a101e6b5ae8c6647608bbb1a	binary-product	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/olecli.dll	83456	f3a76752b6a257056ec43cd6d43da5a65244fc5c41f89e2162ef27634ece54b4	binary-product	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/pifedit.hlp	33508	20bb0049acbeda2a403dd07204ec82102671fc97359691b0ed0009b33c3e788c	source-resource-or-control	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
mvdm-guest	bin86/pmspl.dll	27248	432bb90629ceb7714c13f54147caa11ce77d7bdd3a168bba86195565b5fee456	binary-product	selected-original-mirror	mirror-not-current-stage		m0-t274/m0-t297 guest carry manifests
