"definition_id"	"file_id"	"definition_path"	"package_root"	"source_line"	"lexical_name"	"provenance"	"evidence"
"MVDM-DEF-00108"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2144"	"DmemB1"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2144"
"MVDM-DEF-00109"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2151"	"DmemW"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2151"
"MVDM-DEF-00110"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2219"	"DmemD"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2219"
"MVDM-DEF-00111"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2263"	"DindirmodrmW"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2263"
"MVDM-DEF-00112"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2275"	"DindirFARmodrmW"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2275"
"MVDM-DEF-00113"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2287"	"DeeeControl"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2287"
"MVDM-DEF-00114"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2296"	"DeeeDebug"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2296"
"MVDM-DEF-00115"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2305"	"DeeeTest"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2305"
"MVDM-DEF-00116"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2315"	"checkprefixes"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2315"
"MVDM-DEF-00117"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2366"	"AppendPrefixes"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2366"
"MVDM-DEF-00118"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"138"	"DBGInit"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:138"
"MVDM-DEF-00119"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"161"	"SendVDMEvent"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:161"
"MVDM-DEF-00120"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"174"	"except"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:174"
"MVDM-DEF-00121"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"195"	"GetNormalContext"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:195"
"MVDM-DEF-00122"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"287"	"SegmentLoad"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:287"
"MVDM-DEF-00123"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"337"	"SegmentMove"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:337"
"MVDM-DEF-00124"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"367"	"SegmentFree"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:367"
"MVDM-DEF-00125"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"397"	"ModuleLoad"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:397"
"MVDM-DEF-00126"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"444"	"ModuleSegmentMove"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:444"
