table	instance	slot	typed_return	typed_arity	typed_parameters	source_symbol	generated_definition	disposition
"VideoVector"	"C_Video"	"60"	"void"	"1"	"IHP, value"	"S_0423_CiSetVideomark_string_0000003c"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"61"	"void"	"1"	"IU32, value"	"S_0424_CiSetVideoread_shift_count_0000003d"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"62"	"void"	"1"	"IU32, value"	"S_0425_CiSetVideoread_mapped_plane_0000003e"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"63"	"void"	"1"	"IU32, value"	"S_0426_CiSetVideocolour_comp_0000003f"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"64"	"void"	"1"	"IU32, value"	"S_0427_CiSetVideodont_care_00000040"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"65"	"void"	"1"	"IU32, value"	"S_0428_CiSetVideov7_bank_vid_copy_off_00000041"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"66"	"void"	"1"	"IU8 *, value"	"S_0429_CiSetVideoscreen_ptr_00000042"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"67"	"void"	"1"	"IU32, value"	"S_0430_CiSetVideorotate_00000043"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"68"	"void"	"1"	"IU32, value"	"S_0431_CiSetVideocalc_data_xor_00000044"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"69"	"void"	"1"	"IU32, value"	"S_0432_CiSetVideocalc_latch_xor_00000045"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"70"	"void"	"1"	"IHP, value"	"S_0433_CiSetVideoread_byte_addr_00000046"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"71"	"void"	"1"	"IU32, value"	"S_0434_CiSetVideov7_fg_latches_00000047"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"72"	"void"	"1"	"IHP, value"	"S_0435_CiSetVideoGC_regs_00000048"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"73"	"void"	"1"	"IU8, value"	"S_0436_CiSetVideolast_GC_index_00000049"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"74"	"void"	"1"	"IU8, value"	"S_0437_CiSetVideodither_0000004a"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"75"	"void"	"1"	"IU8, value"	"S_0438_CiSetVideowrmode_0000004b"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"76"	"void"	"1"	"IU8, value"	"S_0439_CiSetVideochain_0000004c"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"77"	"void"	"1"	"IU8, value"	"S_0440_CiSetVideowrstate_0000004d"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"78"	"void"	"0"	""	""	"not-found"	"original-zero-initializer"
"VideoVector"	"C_Video"	"79"	"void"	"1"	"IUH, readset"	""	"not-found"	"original-zero-initializer"
"VideoVector"	"C_Video"	"80"	"void"	"1"	"IUH, markset"	""	"not-found"	"original-zero-initializer"
"EVID_WRT_POINTERS"	"simple_evid"	"0"	"void"	"2"	"IU8, eaOff, IU32, eaVal"	"S_2139_SimpleByteWrite"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"EVID_WRT_POINTERS"	"simple_evid"	"1"	"void"	"2"	"IU16, eaOff, IU32, eaVal"	"S_2142_SimpleWordWrite"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"EVID_WRT_POINTERS"	"simple_evid"	"2"	"void"	"2"	"IU32, eaOff, IU32, eaVal"	"S_2145_SimpleDwordWrite"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"EVID_WRT_POINTERS"	"simple_evid"	"3"	"void"	"3"	"IU32, eaOff, IU8, eaVal, IU32, count"	"S_2140_SimpleByteFill"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"EVID_WRT_POINTERS"	"simple_evid"	"4"	"void"	"3"	"IU32, eaOff, IU16, eaVal, IU32, count"	"S_2143_SimpleWordFill"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"EVID_WRT_POINTERS"	"simple_evid"	"5"	"void"	"3"	"IU32, eaOff, IU32, eaVal, IU32, count"	"S_2146_SimpleDwordFill"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"EVID_WRT_POINTERS"	"simple_evid"	"6"	"void"	"4"	"IU32, eaVal, IHPE, fromOff, IU32, count, IBOOL, src_flag"	"S_2141_SimpleByteMove_Fwd"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"EVID_WRT_POINTERS"	"simple_evid"	"7"	"void"	"4"	"IU32, eaVal, IHPE, fromOff, IU32, count, IBOOL, src_flag"	"S_2148_SimpleByteMove_Bwd"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"EVID_WRT_POINTERS"	"simple_evid"	"8"	"void"	"4"	"IU32, eaVal, IHPE, fromOff, IU32, count, IBOOL, src_flag"	"S_2144_SimpleWordMove_Fwd"	"sevid001.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
