"target_path"	"source_path"	"source_sha256"	"size_bytes"	"action"
"cmd/debug/debmes.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debmes.asm"	"2c0272cdc4dacf7096926732f7a2b65b1ea26c0ab8d312bc39142abd7f6d0308"	"52541"	"already-identical"
"cmd/debug/debuasm.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debuasm.asm"	"550a49e20889f4121eb07c70f619994990fb6541f769a9488438c228dd07c1c2"	"17329"	"already-identical"
"cmd/debug/debug.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debug.asm"	"6e301b05b79de96a5f5f7f4fc6893caa7ccbf1fbe1348976d8a1da33246998af"	"34873"	"already-identical"
"cmd/debug/DEBUG.EXE"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\DEBUG.EXE"	"9c230aa1caff2ff9d845514017b3e4bbe7b308ad26ad88740967651f7955cd60"	"20634"	"already-identical"
"cmd/debug/debug.inc"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debug.inc"	"400d93644fc605a0afcae71ee69698ee14a79bcdbebbcb9d622ede7e97ada238"	"6829"	"already-identical"
"cmd/debug/debug.lnk"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debug.lnk"	"7f1abbcc55aa6e05f7f99021568abf7f990eec01c19fd0de99eca6a9399688fb"	"117"	"already-identical"
"cmd/debug/DEBUG.map"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\DEBUG.map"	"27e53df21e69360ff2fb1b0fb2bf4ddd9ae46492b3595cc242124a347797d931"	"28653"	"already-identical"
"cmd/debug/debug.skl"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debug.skl"	"4c36ee0c06bc6081a6127b77dae51bac1269f4f4f119c5ee2b93b9a97b1d2e73"	"5196"	"already-identical"
"cmd/debug/debug.tag"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debug.tag"	"8596d58e46c5087bd2b62f89b536c0fcd3eea7e9ab6107cc197c93b8e6d32f0f"	"69"	"already-identical"
"cmd/debug/dosdebug/debug.arf"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\dosdebug\debug.arf"	"4f8eeb696b288935d3cd2e94a5b6f7fd10dc4ab231a916d0424b76ec477ab3b1"	"122"	"already-identical"
"cmd/debug/makefile"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\makefile"	"996256a7614656d9fabe197ec37dda2a89c8beddc71a050614a442df2bf91d74"	"8142"	"already-identical"
"cmd/debug/sysver.fal"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\sysver.fal"	"0ab49b5d636f7226377501c72b9b2fd70134219a17f8e6f61341175f4ffdcad4"	"171"	"already-identical"
"cmd/debug/sysver.inc"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\sysver.inc"	"7a6ff01783785edd683608634566a1cea88f4093a1c4930701d801c08530299b"	"343"	"already-identical"
"cmd/debug/sysver.tru"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\sysver.tru"	"7c039228859d6820299183c45b8af7b4f0cc78656f69fa3021bd866dfef33ece"	"170"	"already-identical"
"cmd/edlin/edlcmd1.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\edlcmd1.asm"	"192f9f446d1a55ed311877ab3263131c0578a63af08f225e2fa45e482441f94d"	"14703"	"already-identical"
"cmd/edlin/edlcmd2.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\edlcmd2.asm"	"2c0d29e771f148e2a23ad29827bf2a58140e2329b554bcdb0826a879cc4e5c1d"	"28759"	"already-identical"
"cmd/edlin/edlequ.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\edlequ.asm"	"24a8f713817340ca8cb7c5e36c4cbdf6165b384dbca99db2615588a21fc96240"	"4734"	"already-identical"
"cmd/edlin/edlin.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\edlin.asm"	"4853ba3980cf2b01451e8f30e8d5749ab681119cd775c5ab29d07c52df286a91"	"44629"	"already-identical"
"cmd/edlin/EDLIN.EXE"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\EDLIN.EXE"	"9d835a8a46406fcb01f4509550cc86ea2755c3084c95c744cbec79d8d94c0477"	"12642"	"already-identical"
"cmd/edlin/edlin.lnk"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\edlin.lnk"	"4724cf4f54cfef02875496ff360edba386abdedbbaea004a2c042ae31708a50a"	"60"	"already-identical"
"cmd/edlin/EDLIN.map"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\EDLIN.map"	"9d96189db84adc514ab78f85cfffbb1ec1da6552e6156867fc710f48ed3e6dc8"	"8380"	"already-identical"
"cmd/edlin/edlin.skl"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\edlin.skl"	"4bda9b5bf2c19a85f41dcefdcf53674654cc0ec90538f579ee9d6537ff84803b"	"2977"	"already-identical"
"cmd/edlin/edlmes.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\edlmes.asm"	"83b76c16e581bf41669d99fd0fb80cc763e35bd5b87d2cc3ecaf13312bfd5961"	"16674"	"already-identical"
"cmd/edlin/edlparse.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\edlin\edlparse.asm"	"eb01b6ec17451bebee2e8673288f2ae1e43a391f806b7d2ba59107d90234870b"	"8630"	"already-identical"
