symbol	source_root	source_path	source_sha256	source_line	linkage	source
"getNextToken"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/pigyoda.c"	"ede413a201fc0d4115b5bb0cd50aad3dd34d93a61dc734df49bfd464132ee7f2"	"256"	"externally-linkable"	"directly reached during P12 expansion"
"rwvf_dump"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/floppy_i.c"	"22b503047688d4d1f2d4b99ffba29e71612a165bbc9069976ce7a8b8d62ba042"	"71"	"translation-unit-local"	"directly reached during P12 expansion"
"rd_disk_buffer"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/gfi_ibm.c"	"234d4fdac97c117a01ee642242dbab691e6809d0a3d25e63df4604d5fbbd955f"	"400"	"externally-linkable"	"directly reached during P12 expansion"
"mouse_adjust_screen_size"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/keymouse/mouse_io.c"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1658"	"externally-linkable"	"directly reached during P12 expansion"
"restore_ega_defaults"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/keymouse/mouse_io.c"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1580"	"externally-linkable"	"directly reached during P12 expansion"
"host_time"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_unix.c"	"f2ab1f40420a0928884cf524305a9b87b8c65b0c3440ab97367aa1cbce6417a7"	"348"	"externally-linkable"	"directly reached during P12 expansion"
"host_localtime"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_unix.c"	"f2ab1f40420a0928884cf524305a9b87b8c65b0c3440ab97367aa1cbce6417a7"	"322"	"externally-linkable"	"directly reached during P12 expansion"
"mon_text_update"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/gfx_updt.c"	"02677d929c9d6e1f7c3157b2925f7099ecf3261bd8d26370d6f1fd738129e987"	"4159"	"externally-linkable"	"directly reached during P12 expansion"
"nt_floppy_close"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"878"	"externally-linkable"	"directly reached during P12 expansion"
"fdisk_heart_beat"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"573"	"externally-linkable"	"directly reached during P12 expansion"
"VrpRemoveProcessMailslots"	"O:\repos.external\OpenNT\base\mvdm"	"vdmredir/vrmslot.c"	"70294b72780d3287137310dd4b018b7e572328e1b8bcf9bf4178c32734b95c7c"	"1251"	"externally-linkable"	"directly reached during P12 expansion"
"ProcessMemError"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"381"	"externally-linkable"	"directly reached during P12 expansion"
